2026-03-09 22:42:05.671 [pool-4-thread-31] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-插入数据库结果：ShortLinkPo(id=12588, shortCode=2q257kE9LX2, longUrl=https://www.load-test--1773067325651-278.com, urlHash=c708ce5f3018acf823e3db56d6d366e9, status=1, expireTime=2026-03-16T22:42:05.651860600, createTime=2026-03-09T22:42:05.661095600, updateTime=2026-03-09T22:42:05.661095600)
2026-03-09 22:42:05.671 [pool-4-thread-14] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-插入数据库结果：ShortLinkPo(id=12587, shortCode=2q257kE9LX3, longUrl=https://www.load-test--1773067325651-279.com, urlHash=48681e4a84ca2eb81c627e5bc084f1fd, status=1, expireTime=2026-03-16T22:42:05.651860600, createTime=2026-03-09T22:42:05.661095600, updateTime=2026-03-09T22:42:05.661095600)
2026-03-09 22:42:05.672 [pool-4-thread-4] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-查询数据库结果：null
2026-03-09 22:42:05.672 [pool-4-thread-28] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-查询数据库结果：null
2026-03-09 22:42:05.672 [pool-4-thread-37] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-查询数据库结果：null
2026-03-09 22:42:05.672 [pool-4-thread-15] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-查询数据库结果：null
2026-03-09 22:42:05.673 [pool-4-thread-30] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-插入数据库结果：ShortLinkPo(id=12589, shortCode=2q257kErn56, longUrl=https://www.load-test--1773067325651-280.com, urlHash=f283b96eb3f7046aa07c5a6ca1422f81, status=1, expireTime=2026-03-16T22:42:05.651860600, createTime=2026-03-09T22:42:05.665115500, updateTime=2026-03-09T22:42:05.665115500)
2026-03-09 22:42:05.673 [pool-4-thread-35] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-查询数据库结果：null
2026-03-09 22:42:05.673 [pool-4-thread-7] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-查询数据库结果：null
2026-03-09 22:42:05.673 [pool-4-thread-36] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-插入数据库结果：ShortLinkPo(id=12590, shortCode=2q257kFRmJr, longUrl=https://www.load-test--1773067325653-282.com, urlHash=4f6be4ba49d08f3c458e293cd8eedbdc, status=1, expireTime=2026-03-16T22:42:05.653022900, createTime=2026-03-09T22:42:05.667128900, updateTime=2026-03-09T22:42:05.667128900)
2026-03-09 22:42:05.673 [pool-4-thread-32] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-查询数据库结果：null
2026-03-09 22:42:05.673 [pool-4-thread-34] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-查询数据库结果：null
2026-03-09 22:42:05.673 [pool-4-thread-23] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-查询数据库结果：null
2026-03-09 22:42:05.673 [pool-4-thread-41] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-查询数据库结果：null
2026-03-09 22:42:05.674 [pool-4-thread-5] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-查询数据库结果：null
2026-03-09 22:42:05.675 [pool-4-thread-22] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-插入数据库结果：ShortLinkPo(id=12592, shortCode=2q257kG8XRu, longUrl=https://www.load-test--1773067325657-287.com, urlHash=0fa6f2a536c0238f4fba5814a58d4e97, status=1, expireTime=2026-03-16T22:42:05.657033200, createTime=2026-03-09T22:42:05.668126500, updateTime=2026-03-09T22:42:05.668126500)
2026-03-09 22:42:05.675 [pool-4-thread-33] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-插入数据库结果：ShortLinkPo(id=12591, shortCode=2q257kFRmJs, longUrl=https://www.load-test--1773067325653-284.com, urlHash=e50d8a1099eeed494e3bc5867ec55660, status=1, expireTime=2026-03-16T22:42:05.653022900, createTime=2026-03-09T22:42:05.668126500, updateTime=2026-03-09T22:42:05.668126500)
2026-03-09 22:42:05.675 [pool-4-thread-11] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-插入数据库结果：ShortLinkPo(id=12594, shortCode=2q257kFRmJu, longUrl=https://www.load-test--1773067325656-286.com, urlHash=f4a680784419df578f106b1376e3171e, status=1, expireTime=2026-03-16T22:42:05.656034500, createTime=2026-03-09T22:42:05.668126500, updateTime=2026-03-09T22:42:05.668126500)
2026-03-09 22:42:05.675 [pool-4-thread-25] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-插入数据库结果：ShortLinkPo(id=12598, shortCode=2q257kGqyZy, longUrl=https://www.load-test--1773067325654-285.com, urlHash=fa035b5bc5d54984da7d2ce118a48f01, status=1, expireTime=2026-03-16T22:42:05.654034700, createTime=2026-03-09T22:42:05.670126, updateTime=2026-03-09T22:42:05.670126)
2026-03-09 22:42:05.676 [pool-4-thread-27] INFO  rj.highlink.service.impl.ShortLinkServiceImpl-插入数据库结果：ShortLinkPo(id=12593, shortCode=2q257kFRmJt, longUrl=https://www.load-test--1773067325653-283.com, urlHash=c68b1d160238ea75b246cec4046d9c3c, status=1, expireTime=2026-03-16T22:42:05.653022900, createTime=2026-03-09T22:42:05.668126500, updateTime=2026-03-09T22:42:05.668126500)
